record_id,agency,category,brand_exact,product_exact,agency_status_exact,certification_or_symbol,certification_recorded,symbol_required_for_approval,physical_symbol_independently_observed,in_list_1_approved_only_when_bearing_symbol,in_list_2,in_list_3,in_list_4,conditions_exact,plain_language_explanation,official_source_url,source_location,checked_date,verification_status
STARK-item-WGN7JWIU,STAR-K,Beer,AC Golden,ACG McMango Face,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-WGN7JWIU,"STAR-K all_liquor listing, item block item-WGN7JWIU (imported row index 49)",2026-08-11,verified_against_current_official_source
STARK-item-XQLZYXCM,STAR-K,Beer,AC Golden,All The Juice,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-XQLZYXCM,"STAR-K all_liquor listing, item block item-XQLZYXCM (imported row index 50)",2026-08-11,verified_against_current_official_source
STARK-item-Y1JSDZ7E,STAR-K,Beer,AC Golden,Batch 19,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-Y1JSDZ7E,"STAR-K all_liquor listing, item block item-Y1JSDZ7E (imported row index 51)",2026-08-11,verified_against_current_official_source
STARK-item-ZAHMS2Z7,STAR-K,Beer,AC Golden,Cold Crush Crispy Lager,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-ZAHMS2Z7,"STAR-K all_liquor listing, item block item-ZAHMS2Z7 (imported row index 52)",2026-08-11,verified_against_current_official_source
STARK-item-2KFF84TY,STAR-K,Beer,AC Golden,Orange Haze,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-2KFF84TY,"STAR-K all_liquor listing, item block item-2KFF84TY (imported row index 53)",2026-08-11,verified_against_current_official_source
STARK-item-3TC0M6NQ,STAR-K,Beer,AC Golden,Sneaky 8,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-3TC0M6NQ,"STAR-K all_liquor listing, item block item-3TC0M6NQ (imported row index 54)",2026-08-11,verified_against_current_official_source
STARK-item-RHHAMELI,STAR-K,Beer,APA Beer,APA Beer,Approved,OK,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OK.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-RHHAMELI,"STAR-K all_liquor listing, item block item-RHHAMELI (imported row index 55)",2026-08-11,verified_against_current_official_source
STARK-item-SRF42GEA,STAR-K,Beer,Aspen Edge,Lager,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-SRF42GEA,"STAR-K all_liquor listing, item block item-SRF42GEA (imported row index 143)",2026-08-11,verified_against_current_official_source
STARK-item-T1DXGH93,STAR-K,Beer,Ballast Point Brewing,Aloha Sculpin IPA,Approved,KCOR,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KCOR.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-T1DXGH93,"STAR-K all_liquor listing, item block item-T1DXGH93 (imported row index 203)",2026-08-11,verified_against_current_official_source
STARK-item-UABQVJ3U,STAR-K,Beer,Ballast Point Brewing,Grapefruit Sculpin IPA,Approved,KCOR,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KCOR.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-UABQVJ3U,"STAR-K all_liquor listing, item block item-UABQVJ3U (imported row index 204)",2026-08-11,verified_against_current_official_source
STARK-item-WK0JALWM,STAR-K,Beer,Ballast Point Brewing,Hazy Sculpin IPA,Approved,KCOR,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KCOR.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-WK0JALWM,"STAR-K all_liquor listing, item block item-WK0JALWM (imported row index 205)",2026-08-11,verified_against_current_official_source
STARK-item-XU7DPNQE,STAR-K,Beer,Ballast Point Brewing,Pineapple Sculpin IPA,Approved,KCOR,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KCOR.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-XU7DPNQE,"STAR-K all_liquor listing, item block item-XU7DPNQE (imported row index 206)",2026-08-11,verified_against_current_official_source
STARK-item-Y5575PJ7,STAR-K,Beer,Ballast Point Brewing,Sculpin IPA,Approved,KCOR,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KCOR.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-Y5575PJ7,"STAR-K all_liquor listing, item block item-Y5575PJ7 (imported row index 207)",2026-08-11,verified_against_current_official_source
STARK-item-1E31JQDY,STAR-K,Beer,Ballast Point Brewing,Swingin' Friar Ale,Approved,KCOR,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KCOR.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-1E31JQDY,"STAR-K all_liquor listing, item block item-1E31JQDY (imported row index 208)",2026-08-11,verified_against_current_official_source
STARK-item-3YYMDU2I,STAR-K,Beer,Bear Beer,Bear Beer 4.2%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-3YYMDU2I,"STAR-K all_liquor listing, item block item-3YYMDU2I (imported row index 249)",2026-08-11,verified_against_current_official_source
STARK-item-RL4NC4YA,STAR-K,Beer,Bear Beer,Bear Beer 7.7%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-RL4NC4YA,"STAR-K all_liquor listing, item block item-RL4NC4YA (imported row index 250)",2026-08-11,verified_against_current_official_source
STARK-item-SV2HR6S3,STAR-K,Beer,Bear Beer,Bear Beer 8.5%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-SV2HR6S3,"STAR-K all_liquor listing, item block item-SV2HR6S3 (imported row index 251)",2026-08-11,verified_against_current_official_source
STARK-item-2O1TYS8Q,STAR-K,Beer,Bear Beer,Bear Beer 10%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-2O1TYS8Q,"STAR-K all_liquor listing, item block item-2O1TYS8Q (imported row index 252)",2026-08-11,verified_against_current_official_source
STARK-item-T6YA78MU,STAR-K,Beer,Bear Beer,Bear Beer Dark 5.3%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-T6YA78MU,"STAR-K all_liquor listing, item block item-T6YA78MU (imported row index 253)",2026-08-11,verified_against_current_official_source
STARK-item-VFW5L0GM,STAR-K,Beer,Bear Beer,Bear Beer Dark Wheat 5.4%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-VFW5L0GM,"STAR-K all_liquor listing, item block item-VFW5L0GM (imported row index 254)",2026-08-11,verified_against_current_official_source
STARK-item-WPUX1AAE,STAR-K,Beer,Bear Beer,Bear Beer Extra Strong 12%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-WPUX1AAE,"STAR-K all_liquor listing, item block item-WPUX1AAE (imported row index 255)",2026-08-11,verified_against_current_official_source
STARK-item-XZSRFC47,STAR-K,Beer,Bear Beer,Bear Beer Lager 5%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-XZSRFC47,"STAR-K all_liquor listing, item block item-XZSRFC47 (imported row index 256)",2026-08-11,verified_against_current_official_source
STARK-item-Y0QKVEXY,STAR-K,Beer,Bear Beer,Bear Beer Strong Stout 8%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-Y0QKVEXY,"STAR-K all_liquor listing, item block item-Y0QKVEXY (imported row index 257)",2026-08-11,verified_against_current_official_source
STARK-item-1JNDAGRQ,STAR-K,Beer,Bear Beer,Bear Beer Wheat 5%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-1JNDAGRQ,"STAR-K all_liquor listing, item block item-1JNDAGRQ (imported row index 258)",2026-08-11,verified_against_current_official_source
STARK-item-2TL8PILI,STAR-K,Beer,Bear Beer,Burg Beer 5.5%,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-2TL8PILI,"STAR-K all_liquor listing, item block item-2TL8PILI (imported row index 259)",2026-08-11,verified_against_current_official_source
STARK-item-34J15KEA,STAR-K,Beer,Bear Republic Racer 5,IPA,Approved,KCOR,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KCOR.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-34J15KEA,"STAR-K all_liquor listing, item block item-34J15KEA (imported row index 260)",2026-08-11,verified_against_current_official_source
STARK-item-RQO24SC3,STAR-K,Beer,Beerhunter Organic,Gluten-Free Lager,Approved,OK,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OK.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-RQO24SC3,"STAR-K all_liquor listing, item block item-RQO24SC3 (imported row index 265)",2026-08-11,verified_against_current_official_source
STARK-item-S1MVIU7U,STAR-K,Beer,Beerhunter Organic IPA,IPA,Approved,OK,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OK.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-S1MVIU7U,"STAR-K all_liquor listing, item block item-S1MVIU7U (imported row index 266)",2026-08-11,verified_against_current_official_source
STARK-item-TAKOXW1M,STAR-K,Beer,Bel Pils,"Bel Pils, Bottle/Keg (Belgium)",Approved,KF Belgium,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-TAKOXW1M,"STAR-K all_liquor listing, item block item-TAKOXW1M (imported row index 267)",2026-08-11,verified_against_current_official_source
STARK-item-VKIHCYUE,STAR-K,Beer,Berliner,Kindl Jubilaums Pilsener,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-VKIHCYUE,"STAR-K all_liquor listing, item block item-VKIHCYUE (imported row index 303)",2026-08-11,verified_against_current_official_source
STARK-item-WUFBR1N7,STAR-K,Beer,Berliner,Pilsner,Approved,KF,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By KF.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-WUFBR1N7,"STAR-K all_liquor listing, item block item-WUFBR1N7 (imported row index 304)",2026-08-11,verified_against_current_official_source
STARK-item-YDBYL4BQ,STAR-K,Beer,Big Eddy,Cherry Doppelschwarz,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-YDBYL4BQ,"STAR-K all_liquor listing, item block item-YDBYL4BQ (imported row index 308)",2026-08-11,verified_against_current_official_source
STARK-item-1N0R166I,STAR-K,Beer,Big Eddy,Royal Nektar,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-1N0R166I,"STAR-K all_liquor listing, item block item-1N0R166I (imported row index 309)",2026-08-11,verified_against_current_official_source
STARK-item-2X8LF8YA,STAR-K,Beer,Big Eddy,Russian Imperial Stout,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-2X8LF8YA,"STAR-K all_liquor listing, item block item-2X8LF8YA (imported row index 310)",2026-08-11,verified_against_current_official_source
STARK-item-386EU0S3,STAR-K,Beer,Big Eddy,Ryewine Ale,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-386EU0S3,"STAR-K all_liquor listing, item block item-386EU0S3 (imported row index 311)",2026-08-11,verified_against_current_official_source
STARK-item-RUAFUIQU,STAR-K,Beer,Big Eddy,Uber-Oktoberfest,Approved,OU,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OU.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-RUAFUIQU,"STAR-K all_liquor listing, item block item-RUAFUIQU (imported row index 312)",2026-08-11,verified_against_current_official_source
STARK-item-S5890KKM,STAR-K,Beer,Bio Pecsi,Premium Glutenmentes Lager [Gluten-Free],Approved,OK,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OK.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-S5890KKM,"STAR-K all_liquor listing, item block item-S5890KKM (imported row index 314)",2026-08-11,verified_against_current_official_source
STARK-item-UE63OMEE,STAR-K,Beer,Bio Pecsi,Premium IPA,Approved,OK,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OK.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-UE63OMEE,"STAR-K all_liquor listing, item block item-UE63OMEE (imported row index 315)",2026-08-11,verified_against_current_official_source
STARK-item-VO4V4N87,STAR-K,Beer,Bio Pecsi,Premium Pale Ale,Approved,OK,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OK.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-VO4V4N87,"STAR-K all_liquor listing, item block item-VO4V4N87 (imported row index 316)",2026-08-11,verified_against_current_official_source
STARK-item-WY2PIP2Y,STAR-K,Beer,Bio Pecsi,Premium Weissbier,Approved,OK,True,,no_evidence,False,True,False,False,,STAR-K approves this beer and records it as Certified By OK.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-WY2PIP2Y,"STAR-K all_liquor listing, item block item-WY2PIP2Y (imported row index 317)",2026-08-11,verified_against_current_official_source
