record_id,agency,category,brand_exact,product_exact,agency_status_exact,certification_or_symbol,certification_recorded,symbol_required_for_approval,physical_symbol_independently_observed,in_list_1_approved_only_when_bearing_symbol,in_list_2,in_list_3,in_list_4,conditions_exact,plain_language_explanation,official_source_url,source_location,checked_date,verification_status
STARK-item-Y2VRY3HY,STAR-K,Liqueur,American Fruits,Apple Liqueur (when bearing STAR-K),Approved,STAR-K,True,true,no_evidence,True,False,True,False,,STAR-K approves this ONLY if the bottle bears the STAR-K certification.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-Y2VRY3HY,"STAR-K all_liquor listing, item block item-Y2VRY3HY (imported row index 74)",2026-08-11,verified_against_current_official_source
STARK-item-ZBTKD4BQ,STAR-K,Liqueur,American Fruits,Black Currant Cordial (when bearing STAR-K),Approved,STAR-K,True,true,no_evidence,True,False,True,False,,STAR-K approves this ONLY if the bottle bears the STAR-K certification.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-ZBTKD4BQ,"STAR-K all_liquor listing, item block item-ZBTKD4BQ (imported row index 75)",2026-08-11,verified_against_current_official_source
STARK-item-2LRES66I,STAR-K,Liqueur,American Fruits,Pear Liqueur (when bearing STAR-K),Approved,STAR-K,True,true,no_evidence,True,False,True,False,,STAR-K approves this ONLY if the bottle bears the STAR-K certification.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-2LRES66I,"STAR-K all_liquor listing, item block item-2LRES66I (imported row index 76)",2026-08-11,verified_against_current_official_source
STARK-item-3VO888YA,STAR-K,Liqueur,American Fruits,Sour Cherry Cordial (when bearing STAR-K),Approved,STAR-K,True,true,no_evidence,True,False,True,False,,STAR-K approves this ONLY if the bottle bears the STAR-K certification.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-3VO888YA,"STAR-K all_liquor listing, item block item-3VO888YA (imported row index 77)",2026-08-11,verified_against_current_official_source
STARK-item-RIT98GW3,STAR-K,Liqueur,American Fruits,Strawberry Liqueur (when bearing STAR-K),Approved,STAR-K,True,true,no_evidence,True,False,True,False,,STAR-K approves this ONLY if the bottle bears the STAR-K certification.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-RIT98GW3,"STAR-K all_liquor listing, item block item-RIT98GW3 (imported row index 78)",2026-08-11,verified_against_current_official_source
STARK-item-4RN00ROM,STAR-K,Liqueur,Arak,Alouf-Extra Fine (when bearing OU),Approved,OU,True,true,no_evidence,True,False,True,False,Only when bearing Kosher symbol,STAR-K approves this ONLY if the bottle bears the OU certification. Condition recorded by STAR-K: Only when bearing Kosher symbol,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-4RN00ROM,"STAR-K all_liquor listing, item block item-4RN00ROM (imported row index 107)",2026-08-11,verified_against_current_official_source
STARK-item-SESA91ME,STAR-K,Liqueur,Arak,Ashkelon (when bearing OU),Approved,OU,True,true,no_evidence,True,False,True,False,Only when bearing Kosher symbol,STAR-K approves this ONLY if the bottle bears the OU certification. Condition recorded by STAR-K: Only when bearing Kosher symbol,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-SESA91ME,"STAR-K all_liquor listing, item block item-SESA91ME (imported row index 108)",2026-08-11,verified_against_current_official_source
STARK-item-TOQ5N3F7,STAR-K,Liqueur,Bartenura,Liqueurs (when bearing OU),Approved,OU,True,true,no_evidence,True,False,True,False,Only when bearing Kosher symbol,STAR-K approves this ONLY if the bottle bears the OU certification. Condition recorded by STAR-K: Only when bearing Kosher symbol,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-TOQ5N3F7,"STAR-K all_liquor listing, item block item-TOQ5N3F7 (imported row index 228)",2026-08-11,verified_against_current_official_source
STARK-item-RRXPL7O3,STAR-K,Liqueur,Bicerin,Dark Chocolate (when bearing OU),Approved,OU,True,true,no_evidence,True,False,True,False,,STAR-K approves this ONLY if the bottle bears the OU certification.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-RRXPL7O3,"STAR-K all_liquor listing, item block item-RRXPL7O3 (imported row index 306)",2026-08-11,verified_against_current_official_source
STARK-item-S2VI19IU,STAR-K,Liqueur,Bicerin,White Chocolate (when bearing OU),Approved,OU,True,true,no_evidence,True,False,True,False,,STAR-K approves this ONLY if the bottle bears the OU certification.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-S2VI19IU,"STAR-K all_liquor listing, item block item-S2VI19IU (imported row index 307)",2026-08-11,verified_against_current_official_source
