record_id,agency,category,brand_exact,product_exact,agency_status_exact,certification_or_symbol,certification_recorded,symbol_required_for_approval,physical_symbol_independently_observed,in_list_1_approved_only_when_bearing_symbol,in_list_2,in_list_3,in_list_4,conditions_exact,plain_language_explanation,official_source_url,source_location,checked_date,verification_status
STARK-item-W35VCLZ7,STAR-K,Scotch,(Isle of) Arran,21 Year Old Cask #600 Bourbon Barrel,Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-W35VCLZ7,"STAR-K all_liquor listing, item block item-W35VCLZ7 (imported row index 9)",2026-08-11,verified_against_current_official_source
STARK-item-UI90IHCM,STAR-K,Scotch,(Isle of) Arran,1995 Malt & Music Festival 2017 Cask #368,Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-UI90IHCM,"STAR-K all_liquor listing, item block item-UI90IHCM (imported row index 10)",2026-08-11,verified_against_current_official_source
STARK-item-S9BF4GIU,STAR-K,Scotch,(Isle of) Arran,2000 Bourbon Cask TWE Exclusive,Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-S9BF4GIU,"STAR-K all_liquor listing, item block item-S9BF4GIU (imported row index 11)",2026-08-11,verified_against_current_official_source
STARK-item-VS73XJ7E,STAR-K,Scotch,(Isle of) Arran,2007 James MacTaggart 10th Anniversary,Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-VS73XJ7E,"STAR-K all_liquor listing, item block item-VS73XJ7E (imported row index 12)",2026-08-11,verified_against_current_official_source
STARK-item-WUP9Z4MU,STAR-K,Scotch,(Isle of) Arran,Bourbon Cask Finish (2010),Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-WUP9Z4MU,"STAR-K all_liquor listing, item block item-WUP9Z4MU (imported row index 13)",2026-08-11,verified_against_current_official_source
STARK-item-22AR04XI,STAR-K,Scotch,(Isle of) Arran,Machrie Moor (Peated),Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-22AR04XI,"STAR-K all_liquor listing, item block item-22AR04XI (imported row index 14)",2026-08-11,verified_against_current_official_source
STARK-item-VKSFK2S3,STAR-K,Scotch,(Isle of) Arran,Prem Single Cask 1996 Bourbon,Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-VKSFK2S3,"STAR-K all_liquor listing, item block item-VKSFK2S3 (imported row index 15)",2026-08-11,verified_against_current_official_source
STARK-item-RYDMOEO3,STAR-K,Scotch,(Isle of) Arran,Smugglers' Series Vol. 2 The High Seas,Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-RYDMOEO3,"STAR-K all_liquor listing, item block item-RYDMOEO3 (imported row index 16)",2026-08-11,verified_against_current_official_source
STARK-item-3B9LO6QA,STAR-K,Scotch,(Isle of) Arran,The Bothy Quarter Cask Batch 1 & 2,Approved,,False,false,no_evidence,False,True,False,False,,STAR-K approves this Scotch without requiring a kosher symbol on the bottle.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-3B9LO6QA,"STAR-K all_liquor listing, item block item-3B9LO6QA (imported row index 17)",2026-08-11,verified_against_current_official_source
STARK-item-Y01H4HWM,STAR-K,Scotch,Aberfeldy,12,Not Approved,,False,,no_evidence,False,False,False,True,,STAR-K lists this Scotch as Not Approved. Do not use it.,https://www.star-k.org/resource/list/W56J90P5/all_liquor#item-Y01H4HWM,"STAR-K all_liquor listing, item block item-Y01H4HWM (imported row index 56)",2026-08-11,verified_against_current_official_source
